,UVA,LNQ,UGA-CEID,SignatureScience,MOBS,Covid19Sim,UM,Karlen,Microsoft,IEM,MIT-ISOLAT,JHU-IDD,Ensemble,Columbia,JHU-APL,JHU-UNC-Google,JHU-CSSE,BPagano,MIT-ORC,USC,LANL,ESG
2021-04-17,101.57142857142857,103.42857142857143,105.85714285714286,99.71428571428571,133.42857142857142,108.0,100.42857142857143,163.57142857142858,118.0,158.85714285714286,67.85714285714286,112.0,107.0,94.57142857142857,160.28571428571428,99.42857142857143,131.71428571428572,123.42857142857143,77.85714285714286,112.0,124.14285714285714,120.0
2021-04-18,100.93877551020408,104.0204081632653,106.63265306122449,99.51020408163265,136.34693877551018,106.63265306122449,100.36734693877551,170.9183673469388,120.08163265306122,162.48979591836735,67.46938775510205,117.71428571428571,106.89795918367346,94.26530612244898,164.87755102040816,98.77551020408164,134.44897959183675,127.42857142857143,73.93877551020408,110.51020408163265,123.75510204081633,119.20408163265306
2021-04-19,100.3061224489796,104.61224489795919,107.40816326530613,99.3061224489796,139.26530612244898,105.26530612244898,100.3061224489796,178.26530612244898,122.16326530612245,166.12244897959184,67.08163265306122,123.42857142857143,106.79591836734694,93.95918367346938,169.46938775510202,98.12244897959184,137.18367346938777,131.42857142857142,70.02040816326532,109.0204081632653,123.36734693877551,118.40816326530613
2021-04-20,99.6734693877551,105.20408163265306,108.18367346938776,99.10204081632654,142.18367346938774,103.89795918367346,100.24489795918367,185.6122448979592,124.24489795918367,169.75510204081633,66.6938775510204,129.14285714285714,106.6938775510204,93.65306122448979,174.0612244897959,97.46938775510205,139.9183673469388,135.42857142857142,66.10204081632654,107.53061224489795,122.9795918367347,117.61224489795919
2021-04-21,99.0408163265306,105.79591836734694,108.9591836734694,98.89795918367346,145.10204081632654,102.53061224489797,100.18367346938776,192.9591836734694,126.32653061224491,173.3877551020408,66.3061224489796,134.85714285714286,106.59183673469389,93.34693877551021,178.6530612244898,96.81632653061224,142.6530612244898,139.42857142857142,62.183673469387756,106.04081632653062,122.59183673469387,116.81632653061224
2021-04-22,98.40816326530611,106.38775510204081,109.73469387755102,98.6938775510204,148.0204081632653,101.16326530612245,100.12244897959184,200.30612244897958,128.40816326530614,177.0204081632653,65.91836734693878,140.57142857142858,106.48979591836735,93.04081632653062,183.24489795918367,96.16326530612245,145.3877551020408,143.42857142857142,58.26530612244898,104.55102040816327,122.20408163265306,116.0204081632653
2021-04-23,97.77551020408163,106.9795918367347,110.51020408163266,98.48979591836735,150.9387755102041,99.79591836734694,100.06122448979592,207.6530612244898,130.48979591836735,180.6530612244898,65.53061224489795,146.28571428571428,106.38775510204083,92.73469387755102,187.83673469387753,95.51020408163265,148.12244897959184,147.42857142857142,54.34693877551021,103.06122448979592,121.81632653061224,115.22448979591837
2021-04-24,97.14285714285714,107.57142857142857,111.28571428571429,98.28571428571429,153.85714285714286,98.42857142857143,100.0,215.0,132.57142857142858,184.28571428571428,65.14285714285714,152.0,106.28571428571429,92.42857142857143,192.42857142857142,94.85714285714286,150.85714285714286,151.42857142857142,50.42857142857143,101.57142857142857,121.42857142857143,114.42857142857143
2021-04-25,100.3469387755102,108.36734693877551,111.83673469387756,98.22448979591837,158.73469387755102,97.06122448979592,98.93877551020408,224.0204081632653,133.53061224489798,188.55102040816325,64.77551020408163,161.55102040816325,106.53061224489797,92.20408163265306,197.0408163265306,94.0,153.77551020408163,156.0204081632653,47.244897959183675,99.42857142857143,119.93877551020408,112.83673469387756
2021-04-26,103.55102040816327,109.16326530612244,112.38775510204081,98.16326530612245,163.6122448979592,95.6938775510204,97.87755102040816,233.04081632653063,134.48979591836735,192.81632653061223,64.40816326530611,171.10204081632654,106.77551020408164,91.9795918367347,201.6530612244898,93.14285714285715,156.69387755102042,160.6122448979592,44.06122448979592,97.28571428571428,118.44897959183673,111.24489795918367
2021-04-27,106.75510204081633,109.95918367346938,112.93877551020408,98.10204081632654,168.48979591836735,94.3265306122449,96.81632653061224,242.06122448979593,135.44897959183675,197.0816326530612,64.0408163265306,180.6530612244898,107.02040816326532,91.75510204081633,206.26530612244898,92.28571428571429,159.6122448979592,165.20408163265307,40.87755102040816,95.14285714285714,116.95918367346938,109.6530612244898
2021-04-28,109.95918367346938,110.75510204081633,113.48979591836735,98.04081632653062,173.3673469387755,92.9591836734694,95.75510204081633,251.08163265306123,136.40816326530611,201.3469387755102,63.6734693877551,190.20408163265307,107.26530612244898,91.53061224489797,210.87755102040816,91.42857142857143,162.53061224489795,169.79591836734693,37.69387755102041,93.0,115.46938775510205,108.06122448979592
2021-04-29,113.16326530612244,111.55102040816327,114.04081632653062,97.9795918367347,178.24489795918367,91.59183673469389,94.6938775510204,260.10204081632656,137.3673469387755,205.6122448979592,63.306122448979586,199.75510204081633,107.51020408163265,91.3061224489796,215.48979591836735,90.57142857142857,165.44897959183672,174.3877551020408,34.51020408163265,90.85714285714286,113.9795918367347,106.46938775510205
2021-04-30,116.36734693877551,112.3469387755102,114.59183673469387,97.91836734693878,183.12244897959184,90.22448979591837,93.63265306122449,269.12244897959187,138.32653061224488,209.87755102040816,62.93877551020408,209.30612244897958,107.75510204081633,91.08163265306123,220.10204081632654,89.71428571428572,168.3673469387755,178.9795918367347,31.3265306122449,88.71428571428571,112.48979591836735,104.87755102040816
2021-05-01,119.57142857142857,113.14285714285714,115.14285714285714,97.85714285714286,188.0,88.85714285714286,92.57142857142857,278.14285714285717,139.28571428571428,214.14285714285714,62.57142857142857,218.85714285714286,108.0,90.85714285714286,224.71428571428572,88.85714285714286,171.28571428571428,183.57142857142858,28.142857142857142,86.57142857142857,111.0,103.28571428571429
2021-05-02,115.85714285714286,113.46938775510203,115.65306122448979,97.83673469387756,195.91836734693877,87.46938775510205,92.28571428571428,288.46938775510205,140.30612244897958,218.89795918367346,62.20408163265306,232.6734693877551,107.18367346938776,90.59183673469389,228.83673469387756,87.77551020408164,174.18367346938774,188.02040816326533,26.122448979591837,84.08163265306122,109.38775510204081,101.24489795918367
2021-05-03,112.14285714285714,113.79591836734694,116.16326530612244,97.81632653061224,203.83673469387756,86.08163265306122,92.0,298.795918367347,141.32653061224488,223.6530612244898,61.83673469387755,246.48979591836735,106.36734693877551,90.3265306122449,232.9591836734694,86.6938775510204,177.08163265306123,192.46938775510205,24.10204081632653,81.59183673469387,107.77551020408163,99.20408163265307
2021-05-04,108.42857142857143,114.12244897959184,116.67346938775509,97.79591836734694,211.75510204081633,84.6938775510204,91.71428571428571,309.12244897959187,142.34693877551018,228.40816326530611,61.46938775510204,260.3061224489796,105.55102040816327,90.06122448979592,237.08163265306123,85.61224489795919,179.9795918367347,196.9183673469388,22.081632653061224,79.10204081632654,106.16326530612244,97.16326530612245
2021-05-05,104.71428571428571,114.44897959183673,117.18367346938776,97.77551020408163,219.6734693877551,83.3061224489796,91.42857142857143,319.44897959183675,143.3673469387755,233.16326530612244,61.10204081632653,274.1224489795918,104.73469387755102,89.79591836734694,241.20408163265307,84.53061224489797,182.87755102040816,201.3673469387755,20.06122448979592,76.61224489795919,104.55102040816327,95.12244897959184
2021-05-06,101.0,114.77551020408163,117.6938775510204,97.75510204081633,227.59183673469386,81.91836734693878,91.14285714285714,329.7755102040816,144.3877551020408,237.91836734693877,60.73469387755102,287.9387755102041,103.91836734693878,89.53061224489797,245.3265306122449,83.44897959183675,185.77551020408163,205.81632653061226,18.040816326530614,74.12244897959184,102.93877551020408,93.08163265306122
2021-05-07,97.28571428571428,115.10204081632654,118.20408163265306,97.73469387755101,235.51020408163265,80.53061224489795,90.85714285714286,340.10204081632656,145.40816326530611,242.6734693877551,60.36734693877551,301.7551020408163,103.10204081632654,89.26530612244898,249.44897959183675,82.36734693877551,188.67346938775512,210.26530612244898,16.02040816326531,71.63265306122449,101.3265306122449,91.04081632653062
2021-05-08,93.57142857142857,115.42857142857143,118.71428571428571,97.71428571428571,243.42857142857142,79.14285714285714,90.57142857142857,350.42857142857144,146.42857142857142,247.42857142857142,60.0,315.57142857142856,102.28571428571429,89.0,253.57142857142858,81.28571428571429,191.57142857142858,214.71428571428572,14.0,69.14285714285714,99.71428571428571,89.0
2021-05-09,93.57142857142857,115.42857142857143,118.71428571428571,97.71428571428571,243.42857142857142,79.14285714285714,90.57142857142857,350.42857142857144,146.42857142857142,247.42857142857142,60.0,315.57142857142856,102.28571428571429,89.0,253.57142857142858,81.28571428571429,191.57142857142858,214.71428571428572,14.0,69.14285714285714,99.71428571428571,89.0
